Казахстан|Алматы|(727) 328-35-35|Алматы эвакуатор kz, служба эвакуации автомобилей, address: Аксай 4-й микрорайон, 53
Казахстан|Алматы|8-701-222-01-11|Angels.kz, служба эвакуации, address: Гоголя, 155
Казахстан|Алматы|8-701-811-22-44|Эвакуатор, служба эвакуации, address: Суюнбая проспект, 203
Казахстан|Алматы|(727) 293-84-74|От заката до рассвета, служба эвакуации, address: Ришата и Муслима Абдуллиных, 57а
Казахстан|Алматы|(727) 317-92-68|Служба эвакуации, ИП Ярцева Е.А., address: 10а микрорайон, 3
Казахстан|Алматы|8-777-121-28-28|Эвакуационная компания, ИП Васильев А.Н., address: Промышленная, 42
Казахстан|Алматы|(727) 301-54-70|Avtohelp.kz, служба эвакуации, address: Карьерная 4-я, 14
Казахстан|Алматы|(727) 327-06-69|MEGA MOTORS, служба эвакуации, address: Кульжинский тракт, 4а/1
Казахстан|Алматы|(727) 328-57-59|MBH Курылыс, служба эвакуации, address: Рыскулова проспект, 93а
Казахстан|Алматы|(727) 381-58-12|Служба эвакуации, ИП Ишутин Г.В., address: Утеген батыра, 14
Казахстан|Алматы|(727) 327-74-00|Davlim, служба эвакуации, address: Сейфуллина проспект, 356
Казахстан|Алматы|8-777-228-39-62|Avto Land, служба эвакуации автомобилей, address: Шемякина, 257
Казахстан|Алматы|(727) 235-00-65|Неган, служба эвакуации автомобилей, address: Чигорина, 20
Казахстан|Алматы|(727) 317-75-53|Служба эвакуации, ИП Дворецкая Л.В., address: Захарова, 48
Казахстан|Алматы|(727) 232-67-10|Служба эвакуации, ИП Петров В.А., address: Дархан микрорайон, 50
Казахстан|Алматы|(727) 239-38-95|Служба эвакуации, ИП Жарков А.Ф., address: Дархан микрорайон, 334
Казахстан|Алматы|(727) 327-97-97|Road Assistance Service, компания, address: Ади Шарипова, 129
Казахстан|Алматы|(727) 225-23-33|ЕСТ Evolution, служба эвакуации, address: 10-й микрорайон, 11а
Казахстан|Алматы|(727) 290-58-38|Служба эвакуации, ИП Сисо М.М., address: Ключевая, 9
Казахстан|Алматы|(727) 354-24-92|Barius Service, служба эвакуации, address: Ратушного, 72
Казахстан|Алматы|8-701-023-05-05|Эвакуационная компания, ИП Бараев Ф.Р., address: Венецианова, 47
Украина|Донецк|099-922-22-45|Служба эвакуации автомобилей в г. Донецке, СПД Левшин Е.О., address: Фёдора Зайцева, 1
Украина|Донецк|050-049-04-90|Тех-Авто, служба эвакуации и заказа спецтехники, address: Стадионная, 1
Украина|Донецк|050-767-35-00|Эвакуатор, служба эвакуации автомобилей, СПД Гуляев С.В., address: 9 Января переулок, 12
Украина|Донецк|050-134-34-99|Центр авторазбора и эвакуации автомобилей, СПД Степанов А.А., address: Россошанская, 1а
